effect_id,study_id,first_author,year,doi,pmid,cohort,cohort_family,n,mean_age,pct_female,cognitive_status,design,exposure_domain,exposure_measure,exposure_modality,nights,outcome_class,outcome_modality,outcome_tracer,outcome_region,effect_type,effect,ci_low,ci_high,se,p_value,adjustment,raw_sign_meaning,burden_aligned_effect,burden_aligned_note,provenance,conversion_rule,r,z,v,df_used,n_covariates,df_approximate,is_imputed_null,usable,usable_reason
E014,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,SE,baseline sleep efficiency,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.35,,,,0.05,unadjusted,worse_SE_faster_Ab_accumulation,0.35,direct_burden_change,"'sleep efficiency marginally predicted future change in Ab (r = -0.35, p = 0.05)'",direct_r,0.35,0.36544375427139614,0.034482758620689655,30.0,0,False,False,True,
E015,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,cross_sectional,SE,baseline sleep efficiency,PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,cortical composite,pearson_r,-0.43,,,,0.01,unadjusted,worse_SE_higher_baseline_Ab,0.43,direct_burden_measure,"'sleep efficiency was similarly and negatively associated with baseline Ab burden (r = -0.43, p = 0.01)'",direct_r,0.43,0.4598966812126785,0.034482758620689655,30.0,0,False,False,True,
E016,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,TST,baseline total sleep time,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.36,,,,0.04,unadjusted,shorter_TST_faster_Ab_accumulation,0.36,did not survive multiple-comparison correction,"'Baseline total sleep time was negatively correlated with Ab change (r = -0.36, p = 0.04) ... neither of these associations survived correction'",direct_r,0.36,0.3768859011881901,0.034482758620689655,30.0,0,False,False,True,
E017,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,other_stage,baseline N2 minutes,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.32,,,,0.08,unadjusted,ns,0.32,,"'NREM stage 2, r = -0.32, p = 0.08'",direct_r,0.32,0.3316471087051321,0.034482758620689655,30.0,0,False,False,True,
E018,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,other_stage,baseline REM minutes,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,-0.18,,,,0.34,unadjusted,ns,0.18,,"'REM, r = -0.18, p = 0.34'",direct_r,0.18,0.1819826886007058,0.034482758620689655,30.0,0,False,False,True,
E019,Winer2020,Winer,2020,10.1016/j.cub.2020.08.017,32888482,Berkeley Aging Cohort Study,BerkeleyAgingCohort,32,,,cognitively_normal,longitudinal,WASO,baseline WASO,PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,cortical composite,pearson_r,0.31,,,,0.08,unadjusted,more_WASO_faster_accumulation,0.31,,"'wake after sleep onset trended toward a positive correlation (r = 0.31, p = 0.08)'",direct_r,0.31,0.3205454093019461,0.034482758620689655,30.0,0,False,False,True,
E020,Carvalho2024,Carvalho,2024,10.1093/braincomms/fcae354,39429245,Mayo Clinic Study of Aging (OSA subgroup),MayoMCSA,64,72.9,39.4,cognitively_unimpaired_93pct,longitudinal,SWS_spectral,slow oscillation relative power SO% (per 1 SD),PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,global,unstd_beta_per_SD,0.0033,0.0001,0.0064,,0.042,age_APOE4_baseline_amyloid,higher_SO_power_faster_accumulation,-0.0033,OPPOSITE DIRECTION to hypothesis: higher SO% predicted FASTER accumulation in OSA,"'For 1 SD increase in SO%, global dPiB(log)/year increased by 0.0033 (95% CI: 0.0001; 0.0064, P = 0.042)'",recover_r_from_p_and_df,-0.259101728684177,-0.2651452508805343,0.01639344262295082,60.0,3,False,False,True,
E021,Carvalho2024,Carvalho,2024,10.1093/braincomms/fcae354,39429245,Mayo Clinic Study of Aging (OSA subgroup),MayoMCSA,64,72.9,39.4,cognitively_unimpaired_93pct,longitudinal,SWS_spectral,SO downslope (per 1 SD),PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,global,unstd_beta_per_SD,0.0069,0.0009,0.0129,,0.026,age_APOE4_baseline_amyloid,steeper_SO_slope_faster_accumulation,-0.0069,opposite_direction_to_hypothesis,"'SO-slope ... 0.0069 (95% CI: 0.0009; 0.0129, P = 0.026)'",recover_r_from_p_and_df,-0.2826882069613497,-0.29060135623732664,0.01639344262295082,60.0,3,False,False,True,
E022,Carvalho2024,Carvalho,2024,10.1093/braincomms/fcae354,39429245,Mayo Clinic Study of Aging (OSA subgroup),MayoMCSA,64,72.9,39.4,cognitively_unimpaired_93pct,longitudinal,SWS_spectral,delta downslope (per 1 SD),PSG_lab,1.0,deposition_pet_change,amyloid_PET,PiB,global,unstd_beta_per_SD,-0.0082,-0.0143,-0.0021,,0.009,age_APOE4_baseline_amyloid,steeper_delta_slope_slower_accumulation,0.0082,consistent_with_hypothesis_direction,"'Delta-slope was associated with a reduction in global dPiB(log)/year by -0.0082 (95% CI: -0.0143; -0.0021, P = 0.009)'",recover_r_from_p_and_df,0.32913108313796824,0.3418534618862243,0.01639344262295082,60.0,3,False,False,True,
E023,Jin2025,Jin,2025,10.1002/alz.14495,39868572,MARS/community cohort,MARS,128,,,mixed_CN_MCI_AD,cross_sectional,SWS_stage,SWS % (middle tertile 2-9.9% vs lowest),PSG_lab,1.0,deposition_pet,amyloid_PET,,global,unstd_beta_tertile,-0.26,-0.48,0.06,,0.102,age_sex_APOE4_DM_smoking_BMI_antidep_MMSE,ns,0.26,log-transformed SUVR; tertile contrast; null,Table 2: 'SWS % ... Ab PET 2~9.9% ... -0.26 (-0.48 to 0.06) 0.102',recover_r_from_p_and_df,0.1493728720659788,0.15049893447915247,0.008,119.0,8,False,False,True,
E024,Jin2025,Jin,2025,10.1002/alz.14495,39868572,MARS/community cohort,MARS,128,,,mixed_CN_MCI_AD,cross_sectional,SWS_stage,SWS % (highest tertile >9.9% vs lowest),PSG_lab,1.0,deposition_pet,amyloid_PET,,global,unstd_beta_tertile,0.15,-0.19,0.65,,0.427,age_sex_APOE4_DM_smoking_BMI_antidep_MMSE,ns,-0.15,,Table 2: 'SWS % ... Ab PET >9.9% ... 0.15 (-0.19 to 0.65) 0.427',recover_r_from_p_and_df,-0.07287267962134819,-0.0730020872237946,0.008,119.0,8,False,False,True,
E025,Jin2025,Jin,2025,10.1002/alz.14495,39868572,MARS/community cohort,MARS,128,,,mixed_CN_MCI_AD,cross_sectional,TST,total sleep time,PSG_lab,1.0,deposition_pet,amyloid_PET,,global,narrative_null,0.0,,,,,fully_adjusted,,0.0,,"'There was no significant association between other sleep measures, including TST, SE, and SOL, and AD/ADRD biomarkers'",imputed_null_z0,0.0,0.0,0.008,126.0,8,True,True,True,
E026,Jin2025,Jin,2025,10.1002/alz.14495,39868572,MARS/community cohort,MARS,128,,,mixed_CN_MCI_AD,cross_sectional,SE,sleep efficiency,PSG_lab,1.0,deposition_pet,amyloid_PET,,global,narrative_null,0.0,,,,,fully_adjusted,,0.0,,same sentence as E025,imputed_null_z0,0.0,0.0,0.008,126.0,8,True,True,True,
E027,Champetier2024,Champetier,2024,10.1093/sleep/zsae012,38227830,Age-Well / IMAP (Medit-Ageing),AgeWell_Caen,127,,,cognitively_unimpaired,cross_sectional,SWS_spectral,N2-N3 delta power (all sub-bands 0.5-4 Hz),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global neocortex,narrative_null,0.0,,,,,age_sex_education,,0.0,well-powered replication attempt; null cross-sectionally AND longitudinally,"'Delta power was neither associated with amyloid burden at baseline nor its accumulation over time, whatever the frequency sub-band'",imputed_null_z0,0.0,0.0,0.008064516129032258,125.0,3,False,True,True,
E028,Champetier2024,Champetier,2024,10.1093/sleep/zsae012,38227830,Age-Well / IMAP (Medit-Ageing),AgeWell_Caen,127,,,cognitively_unimpaired,longitudinal,SWS_spectral,N2-N3 delta power sub-bands,PSG_lab,1.0,deposition_pet_change,amyloid_PET,florbetapir,global neocortex,narrative_null,0.0,,,,,age_sex_education,,0.0,~21 month follow-up,same sentence as E027,imputed_null_z0,0.0,0.0,0.008064516129032258,125.0,3,False,True,True,
E029,Liguori2020,Liguori,2020,10.1186/s13195-019-0571-3,31901236,Rome Tor Vergata memory clinic,RomeTorVergata,258,,,mixed_SCI_MCI_AD,cross_sectional,SWS_stage,N3 % of TST,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,0.362,,,,0.01,unadjusted,less_N3_lower_CSF_Ab42,0.362,"Sign is OPPOSITE to Varga2016 - in a cohort including AD, low CSF Ab42 reflects plaque sequestration so less N3 maps to MORE burden",Table 2 correlation matrix row 13 (N3) x column 6 (Ab42): .362**,direct_r,0.362,0.3791856016823339,0.00392156862745098,256.0,0,False,False,True,
E030,Liguori2020,Liguori,2020,10.1186/s13195-019-0571-3,31901236,Rome Tor Vergata memory clinic,RomeTorVergata,258,,,mixed_SCI_MCI_AD,cross_sectional,TST,total sleep time,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,0.306,,,,0.01,unadjusted,shorter_TST_lower_CSF_Ab42,0.306,same_stage_logic_as_E029,Table 2 row 7 (TST) x column 6 (Ab42): .306**,direct_r,0.306,0.31612617466478593,0.00392156862745098,256.0,0,False,False,True,
E031,Liguori2020,Liguori,2020,10.1186/s13195-019-0571-3,31901236,Rome Tor Vergata memory clinic,RomeTorVergata,258,,,mixed_SCI_MCI_AD,cross_sectional,SE,sleep efficiency,PSG_lab,1.0,soluble_csf,CSF_Abeta42,,,pearson_r,0.403,,,,0.01,unadjusted,worse_SE_lower_CSF_Ab42,0.403,same_stage_logic_as_E029,Table 2 row 8 (SE) x column 6 (Ab42): .403**,direct_r,0.403,0.4272254833549295,0.00392156862745098,256.0,0,False,False,True,
E032,Winer2021,Winer,2021,10.1001/jamaneurol.2021.2876,34459862,A4 screening,A4,4417,71.3,59.3,cognitively_normal,cross_sectional,TST,self-reported sleep duration (hours),self_report,,deposition_pet,amyloid_PET,florbetapir,cortical composite,unstd_beta_per_hour,-0.01,,,0.0,0.005,age_sex_APOE_education,shorter_sleep_higher_Ab_SUVR,0.01,SUVR units per hour of sleep; largest sample in the literature,'Self-reported shorter sleep duration was linearly associated with higher Ab burden (beta [SE] = -0.01 [0.00]; P = .005)',recover_r_from_p_and_df,0.042243568168718264,0.04226872325879403,0.00022655188038060717,4412.0,4,False,False,True,
E033,Spira2013,Spira,2013,10.1001/jamaneurol.2013.4258,24145859,BLSA neuroimaging substudy,BLSA,70,76.0,,mostly_cognitively_normal,cross_sectional,TST,"self-reported sleep duration, ordinal 0-3 (each +1 = >=1 h LESS sleep)",self_report,,deposition_pet,amyloid_PET,PiB,cortical DVR,unstd_beta_per_ordinal_category,0.08,0.03,0.14,,0.005,age_sex_education_BMI_etc,higher_shortness_code_higher_DVR,0.08,coefficient reported for shorter duration; sign aligned to burden,"'reports of shorter sleep duration were associated with greater beta-amyloid burden ... (B = 0.08, 95% CI 0.03, 0.14, p = 0.005)'",recover_r_from_p_and_df,0.34158966399422463,0.3558910791647151,0.014925373134328358,64.0,5,True,False,True,
E034,Spira2013,Spira,2013,10.1001/jamaneurol.2013.4258,24145859,BLSA neuroimaging substudy,BLSA,70,76.0,,mostly_cognitively_normal,cross_sectional,TST,"self-reported sleep duration, ordinal 0-3 (each +1 = >=1 h LESS sleep)",self_report,,deposition_pet,amyloid_PET,PiB,precuneus DVR,unstd_beta_per_ordinal_category,0.11,0.03,0.18,,0.007,age_sex_education_BMI_etc,higher_shortness_code_higher_DVR,0.11,,"'precuneus DVR (B = 0.11, 95% CI 0.03, 0.18, p = 0.007)'",recover_r_from_p_and_df,0.32895043252920725,0.34165087795609916,0.014925373134328358,64.0,5,True,False,True,
E035,Spira2013,Spira,2013,10.1001/jamaneurol.2013.4258,24145859,BLSA neuroimaging substudy,BLSA,66,76.0,,cognitively_normal_only,cross_sectional,TST,"self-reported sleep duration, ordinal 0-3 (each +1 = >=1 h LESS sleep)",self_report,,deposition_pet,amyloid_PET,PiB,cortical DVR,partial_r,0.32,,,,0.019,age_sex_education_BMI_etc,higher_shortness_code_higher_cortical_DVR,0.32,MCI/dementia excluded (n=66),"'After removing the four participants with MCI or dementia ... cDVR (B = 0.07, 95% CI 0.01, 0.14, partial r = 0.32, p = 0.019)'",direct_r,0.32,0.3316471087051321,0.015873015873015872,64.0,5,True,False,True,
E036,Brown2016,Brown,2016,10.5665/sleep.5756,27091528,AIBL,AIBL,184,,,cognitively_normal,cross_sectional,SE,PSQI sleep efficiency component,self_report,,deposition_pet,amyloid_PET,PiB/flutemetamol/florbetapir,neocortex,narrative_null,0.0,,,,,age_sex_APOE,,0.0,"only sleep latency was significant (B=0.003, p=0.02)",'There were no other significant associations between the sleep quality variables and brain Ab burden',imputed_null_z0,0.0,0.0,0.0055248618784530384,182.0,3,False,True,True,
E037,Insel2021,Insel,2021,10.1001/jamanetworkopen.2021.17573,34297074,A4 screening,A4,4425,,,cognitively_normal,cross_sectional,TST,self-reported nighttime sleep duration,self_report,,deposition_pet,amyloid_PET,florbetapir,global composite,narrative_null,0.0,,,,,age_sex_APOE,null_for_global,0.0,regional effects only; posterior cingulate/precuneus for daytime sleep,'Nighttime sleep was not associated with Ab in any other region',imputed_null_z0,0.0,0.0,0.0002261420171867933,4423.0,3,False,True,True,
E038,Fenton2023,Fenton,2023,10.1093/braincomms/fcad031,36895954,Australian community sample,AU_community,52,,,cognitively_normal,cross_sectional,SE_variability,intra-individual variability in sleep efficiency,actigraphy,14.0,deposition_pet,amyloid_PET,,composite,unstd_beta,0.03,,,0.01,0.01,age_sex_APOE,more_SE_variability_higher_Ab,0.03,variability not level; distinct construct,"'Less variability in sleep efficiency is associated with lower Ab burden (b = 0.03, SE = 0.01, t = 3.4, P < 0.01)'",recover_r_from_p_and_df,0.361031433850735,0.37807141880747586,0.02040816326530612,48.0,3,False,False,True,
E039,Fenton2023,Fenton,2023,10.1093/braincomms/fcad031,36895954,Australian community sample,AU_community,52,,,cognitively_normal,cross_sectional,TST_variability,intra-individual variability in sleep duration,actigraphy,14.0,deposition_pet,amyloid_PET,,composite,unstd_beta,0.01,,,0.003,0.04,age_sex_APOE,more_TST_variability_higher_Ab,0.01,variability_not_level,"'Less variability in sleep duration was associated with lower Ab burden (b = 0.01, SE = 0.003, P = 0.04)'",recover_r_from_p_and_df,0.29147622702077663,0.3001787962892111,0.02040816326530612,48.0,3,False,False,True,
E040,Stankeviciute2024,Stankeviciute,2024,10.1002/dad2.12616,39077684,NYU/Barcelona cognitively normal,NYU_Barcelona,39,,,cognitively_normal,cross_sectional,SWS_stage,N3 % of TST,PSG_lab,1.0,deposition_pet,amyloid_PET,PiB,global cortical,narrative_null,0.0,,,,,age_sex,null_for_amyloid,0.0,N3 associated with tau and cortical thickness but amyloid-independent by design,'adjustment for cortical amyloid burden did not alter the associations between percentages of N1 and N3 sleep with tau',imputed_null_z0,0.0,0.0,0.027777777777777776,37.0,2,False,True,True,
E041,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,SWS_stage,N3 % of TST,PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,-0.0548,,,,0.628,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,-0.0548,Ab+ had slightly HIGHER N3% (16.5 vs 17.4) - direction opposite to hypothesis,"Table 3: N3 % of TST F/p=0.628 partial eta2=0.003; Ab- n=54, Ab+ n=22",direct_r,-0.0548,-0.05485495458318943,0.0136986301369863,74.0,4,False,False,True,
E042,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,SWS_stage,N3 duration (min),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,0.0548,,,,0.659,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,0.0548,Ab- 67.0 vs Ab+ 63.6 min; ns,"Table 3: N3 duration (min) F/p=0.659 partial eta2=0.003; Ab- n=54, Ab+ n=22",direct_r,0.0548,0.05485495458318943,0.0136986301369863,74.0,4,False,False,True,
E043,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,TST,total sleep time (min),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,0.255,,,,0.031,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,0.255,Ab- 397.1 vs Ab+ 369.0 min; SIGNIFICANT - shorter TST in Ab+,"Table 3: total sleep time (min) F/p=0.031 partial eta2=0.065; Ab- n=54, Ab+ n=22",direct_r,0.255,0.26075331659316237,0.0136986301369863,74.0,4,False,False,True,
E044,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,SE,sleep efficiency (%),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,0.0,,,,1.0,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,0.0,Ab- 81.1 vs Ab+ 81.1; exactly null,"Table 3: sleep efficiency (%) F/p=1.0 partial eta2=6.414e-10; Ab- n=54, Ab+ n=22",direct_r,0.0,0.0,0.0136986301369863,74.0,4,False,False,True,
E045,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,other_stage,N2 duration (min),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,0.2121,,,,0.075,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,0.2121,Ab- 218.7 vs Ab+ 201.8; trend,"Table 3: N2 duration (min) F/p=0.075 partial eta2=0.045; Ab- n=54, Ab+ n=22",direct_r,0.2121,0.21536924661241197,0.0136986301369863,74.0,4,False,False,True,
E046,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,other_stage,REM duration (min),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,0.1414,,,,0.237,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,0.1414,Ab- 75.2 vs Ab+ 69.6; ns,"Table 3: REM duration (min) F/p=0.237 partial eta2=0.02; Ab- n=54, Ab+ n=22",direct_r,0.1414,0.14235385115607374,0.0136986301369863,74.0,4,False,False,True,
E047,Montagne2026,Montagne,2026,10.1002/alz.71376,41996149,Age-Well RCT baseline (Caen),AgeWell_Caen,76,,,cognitively_unimpaired,cross_sectional,WASO,WASO (min),PSG_lab,1.0,deposition_pet,amyloid_PET,florbetapir,global (Centiloid),r_from_partial_eta2,-0.0447,,,,0.7,age_sex_education_AHI,Ab-positive vs Ab-negative group contrast,-0.0447,Ab- 72.5 vs Ab+ 68.8; ns,"Table 3: WASO (min) F/p=0.7 partial eta2=0.002; Ab- n=54, Ab+ n=22",direct_r,-0.0447,-0.0447298072837498,0.0136986301369863,74.0,4,False,False,True,
